상품번호,상품,구매,방법,,색 RGB(16진수) 리스트,색명(사아즈 리스트),업데이트 시간,체트 시간,체크 상태,이전 색RGB(16진수) 리스트,이전 색명(사아즈 리스트)
9141360197,https://smartstore.naver.com/magussa5/products/9141360197,https://www.lacoste.com/kr/lacoste/women/%EC%9D%98%EB%A5%98/%EB%93%9C%EB%A0%88%EC%8A%A4-%EC%8A%A4%EC%BB%A4%ED%8A%B8/%ED%85%8C%EB%8B%88%EC%8A%A4-%EC%BB%AC%EB%9F%AC%ED%8B%B0%ED%95%91-%EB%93%9C%EB%A0%88%EC%8A%A4/EF405E-53N.html?color=70V,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9141352534,https://smartstore.naver.com/magussa5/products/9141352534,https://www.lacoste.com/kr/lacoste/women/%EC%9D%98%EB%A5%98/%EB%93%9C%EB%A0%88%EC%8A%A4-%EC%8A%A4%EC%BB%A4%ED%8A%B8/%ED%97%A4%EB%A6%AC%ED%8B%B0%EC%A7%80-%EC%BB%AC%EB%9F%AC%ED%8F%AC%EC%9D%B8%ED%8A%B8-%ED%85%8C%EB%8B%88%EC%8A%A4-%EB%93%9C%EB%A0%88%EC%8A%A4/EF1031-53N.html?color=BED,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9141336782,https://smartstore.naver.com/magussa5/products/9141336782,https://www.lacoste.com/kr/lacoste/collections/%EC%8A%A4%ED%83%80%EC%9D%BC/%EC%98%A8%EB%9D%BC%EC%9D%B8-%EB%8B%A8%EB%8F%85/%EC%97%AC%EC%84%B1/%28%EC%97%AC%EC%84%B1%29-%EB%9D%BC%EC%BD%94%EC%8A%A4%ED%85%8C-%ED%8C%8C%EC%9B%8C%EC%BD%94%ED%8A%B8-%EB%B0%A9%ED%95%9C%EC%9A%A9-%EA%B0%80%EC%A3%BD-%EB%B0%B0%EC%83%89-%EC%95%84%EC%9B%83%EB%8F%84%EC%96%B4%ED%99%94/RZ0047W52N.html?color=2M9,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9141325925,https://smartstore.naver.com/magussa5/products/9141325925,https://www.lacoste.com/kr/%28%EC%97%AC%EC%84%B1%29-%EB%9D%BC%EC%BD%94%EC%8A%A4%ED%85%8C-l001-%EA%B0%80%EC%A3%BD-%EB%B0%B0%EC%83%89-%EC%8A%A4%EB%8B%88%EC%BB%A4%EC%A6%88/RZ4088W53G.html?color=Y21,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9141319043,https://smartstore.naver.com/magussa5/products/9141319043,https://www.lacoste.com/kr/%28%EC%97%AC%EC%84%B1%29-%EB%9D%BC%EC%BD%94%EC%8A%A4%ED%85%8C-l002-%EA%B0%80%EC%A3%BD-%ED%86%A4%EC%98%A8%ED%86%A4-%EC%8A%A4%EB%8B%88%EC%BB%A4%EC%A6%88/RZ4033W53G.html?color=AMY,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9141307528,https://smartstore.naver.com/magussa5/products/9141307528,https://www.lacoste.com/kr/%28%EC%97%AC%EC%84%B1%29-%EB%9D%BC%EC%BD%94%EC%8A%A4%ED%85%8C-%EC%BA%94%EB%B2%84%EC%8A%A4-%EB%A6%AC%EC%A1%B0%ED%8A%B8-%ED%85%8D%EC%8A%A4%ED%83%80%EC%9D%BC-%EC%8A%AC%EB%A6%BD%EC%98%A8/RZ4007W53G.html?color=18C,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9141295238,https://smartstore.naver.com/magussa5/products/9141295238,https://www.lacoste.com/kr/lacoste/women/%EC%8B%A0%EB%B0%9C/%EC%8A%A4%ED%8F%AC%EC%B8%A0/l-%EC%8A%A4%ED%95%80-%EB%94%94%EB%9F%AD%EC%8A%A4-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%ED%94%84%EB%A6%B0%ED%8A%B8-%EC%8A%A4%EB%8B%88%EC%BB%A4%EC%A6%88/RZ3083W53N.html?color=1T5,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9141284467,https://smartstore.naver.com/magussa5/products/9141284467,https://www.lacoste.com/kr/lacoste/women/%EC%8B%A0%EB%B0%9C/%EC%8A%A4%ED%8F%AC%EC%B8%A0/t-clip-%EA%B0%80%EC%A3%BD-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%ED%84%B0%EC%B9%98-%EC%8A%A4%EB%8B%88%EC%BB%A4%EC%A6%88/RZ0057W53N.html?color=1T5,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9135632081,https://smartstore.naver.com/magussa5/products/9135632081,https://www.lacoste.com/kr/lacoste/women/%EC%8B%A0%EB%B0%9C/%EC%8A%A4%ED%8F%AC%EC%B8%A0/%EB%B2%A0%EC%9D%B4%EC%8A%A4%EC%83%B7-%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84-%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C-%EC%8A%A4%EB%8B%88%EC%BB%A4%EC%A6%88/RZ3067W53N.html?color=1X3,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
9135619917,https://smartstore.naver.com/magussa5/products/9135619917,https://www.lacoste.com/kr/lacoste/women/%EB%A0%88%EB%8D%94%EA%B5%BF/%EA%B0%80%EB%B0%A9/%EC%95%88%EB%82%98-%28anna%29-%ED%98%B8%EB%B3%B4-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/NF4642A53N.html?color=M48,https://m.blog.naver.com/how20909/223186680351?referrerCode=1,LACOSTE(악어도형),,,,,,,
